u,v,description ,length,geometry
213085056,1840734608,Punggol - Soo Teck,900.536244,"LINESTRING (103.9022433757782 1.405296370686004, 103.9020609855652 1.404950469766407, 103.9018839597702 1.404424914782806, 103.9016103744507 1.403936899335072, 103.901481628418 1.403800147735279, 103.9009344577789 1.402805346641262, 103.9008030295372 1.402639099516914, 103.9006179571152 1.402478215191779, 103.9004275202751 1.402405817241854, 103.900220990181 1.402379003185765, 103.8999903202057 1.402413861458618, 103.8996630907059 1.402507710652214, 103.8974556326866 1.403279955302235, 103.8972330093384 1.403384530079002, 103.8970988988876 1.403494467659779, 103.8970130681992 1.403620493660663, 103.8969486951828 1.403754563866912, 103.8969084620476 1.403982483199876, 103.8969486951828 1.404207721107108, 103.8971525430679 1.404947788363728, 103.8972786068916 1.405376812752976)"
1840734608,1840734610,Soo Teck - Sumang,340.467668,"LINESTRING (103.8972759246826 1.405363405742011, 103.8975977897644 1.406473505989711, 103.8980054855347 1.407465624121711, 103.8985741138458 1.408495281412353)"
1840734610,1840734598,Sumang - Nibong,375.9896873,"LINESTRING (103.8985687494278 1.408489918615137, 103.898960351944 1.409299700854119, 103.8997542858124 1.410769106316963, 103.9003604650497 1.41179339935713)"
1840734598,1840734607,Nibong - Samudera,453.8658042,"LINESTRING (103.9003711938858 1.411774629593439, 103.9004489779472 1.411916743514777, 103.9008620381355 1.412817691946001, 103.9009210467339 1.412941036049287, 103.9015164971352 1.414944036113629, 103.9015540480614 1.415064698712903, 103.9016345143318 1.415228263559665, 103.9017230272293 1.415367695878955, 103.9021629095078 1.41589324839166)"
1840734607,1840734600,Samudera - Punggol Point,518.0373099,"LINESTRING (103.9021360874176 1.415853027540298, 103.9023613929749 1.416126529315747, 103.9026027917862 1.416362491605874, 103.9034020900726 1.416979211114331, 103.9041370153427 1.417354605517368, 103.9045983552933 1.417483312155816, 103.9048451185226 1.417494037708697, 103.9050650596619 1.417488674932269, 103.9055532217026 1.417349242740609, 103.9066421985626 1.416845141669939)"
1840734600,1840734606,Punggol Point - Sam Kee,839.735712,"LINESTRING (103.9065724611282 1.416869274170505, 103.9070177078247 1.416646718877997, 103.9071652293205 1.416560914422154, 103.9074012637138 1.416389305500964, 103.9075568318367 1.416223059346417, 103.9076372981071 1.416070220129314, 103.9077311754227 1.415842301979822, 103.9077660441399 1.415651923273059, 103.9077660441399 1.415418642301212, 103.9077338576317 1.4152309449505, 103.9076453447342 1.414954761678265, 103.9074656367302 1.41454987157895, 103.9064651727676 1.412549552568468, 103.9063203334808 1.412254599217426, 103.9048853516579 1.409763582605895)"
1840734606,213085056,Sam kee - Punggol,17.79942291,"LINESTRING (103.9048826694489 1.409752857017303, 103.9045393466949 1.409181719353375, 103.9038741588593 1.408039443605404, 103.9035227894783 1.407433447324054, 103.9030319452286 1.406521771205898, 103.9027583599091 1.406025711991957, 103.9024418592453 1.405661041367446, 103.9022460579872 1.405307096295091)"
