u,v,description ,length,geometry
213085056,1840734592,Punggol - Cove,900.1747765,"LINESTRING (103.9024847745895 1.405186433189982, 103.9022997021675 1.404843213656907, 103.9019617438316 1.404400782153174, 103.9017096161842 1.403939580738909, 103.9010444283485 1.402749037132728, 103.9009827375412 1.402598878436667, 103.9009827375412 1.402427268486516, 103.9010068774223 1.402287835392737, 103.9010632038116 1.402143039478879, 103.9011865854263 1.401971429495307, 103.9013502001762 1.401856129030523, 103.9046224951744 1.40023924051953, 103.9054700732231 1.399804852371215, 103.9058938622475 1.399501853183095)"
1840734592,1840734597,Cove - Meridian,394.7470624,"LINESTRING (103.9058616757393 1.399525985863221, 103.9060574769974 1.399386552596788, 103.9063981175423 1.399129137313902, 103.9068379998207 1.398718881648431, 103.9082917571068 1.397533698211984, 103.9085975289345 1.397305778251777, 103.9089113473892 1.397024230035121)"
1840734597,1840734578,Meridian - Coral Edge,491.8354909,"LINESTRING (103.9088925719261 1.397040318505545, 103.9093726873398 1.396603248352968, 103.9097428321838 1.396329744289746, 103.9110544323921 1.39525449761516, 103.9126852154732 1.39391110893463)"
1840734578,1840734604,Coral Edge - Riviera,469.4587974,"LINESTRING (103.912655711174 1.393937923087446, 103.9131143689155 1.393551799257398, 103.9133155345917 1.393361418734563, 103.9136105775833 1.393120091289131, 103.9138036966324 1.392983339059079, 103.9140209555626 1.392862675320098, 103.9141818881035 1.392819772655855, 103.9143508672714 1.392798321323447, 103.9144796133041 1.392811728406217, 103.914640545845 1.392846586821088, 103.9149489998817 1.393023560304041, 103.9150482416153 1.393138861202448, 103.9155578613281 1.393809215151128, 103.9156839251518 1.393991551392175, 103.9159414172173 1.39440717071234, 103.9160889387131 1.394621683881142)"
1840734604,1840734594,Riviera - Kadaloor,652.5101297,"LINESTRING (103.9160621166229 1.394578781248947, 103.9163839817047 1.395039984504053, 103.9168372750282 1.395592355725477, 103.917692899704 1.396801672849484, 103.9180335402489 1.397273601314455, 103.9181381464005 1.397539061034314, 103.9181730151176 1.397657043122405, 103.9181864261627 1.39789568869156, 103.9181435108185 1.398126290005008, 103.9180737733841 1.398284493218561, 103.9179852604866 1.398423926550501, 103.9178565144539 1.398566041284127, 103.9171242713928 1.39910768603905, 103.9166441559792 1.399424092323184, 103.9164081215858 1.399587658266894)"
1840734594,1840734599,Kadaloor - Oasis,467.5329322,"LINESTRING (103.916437625885 1.39955548136083, 103.9150643348694 1.400587823543283, 103.9144849777222 1.401006123103341, 103.9134684205055 1.401732784340986, 103.912650346756 1.402295879609921)"
1840734599,1840734593,Oasis - Damai,510.0086838,"LINESTRING (103.9126771688461 1.402282472581272, 103.9119154214859 1.402824116477139, 103.9114916324615 1.403178061925512, 103.910853266716 1.403617812256458, 103.9093941450119 1.404658196856448, 103.9089757204056 1.404934381350295, 103.9085304737091 1.405248105444474)"
1840734593,213085056,Damai - Punggol,810.9615682,"LINESTRING (103.9085519313812 1.405232017030423, 103.9081308245659 1.405543059682624, 103.9074870944023 1.40604448180197, 103.9063739776611 1.406808681081499, 103.9049389958382 1.407513889317365, 103.9046600461006 1.407594331307915, 103.9044052362442 1.407613101105295, 103.9038392901421 1.40744953572294, 103.9035791158676 1.407224298128432, 103.9034074544907 1.407031237315845, 103.9027905464172 1.405907730325556, 103.9026859402657 1.405556466692571, 103.9024847745895 1.405170344775498)"
